All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    1_genome  1_mag    2_genome  2_mag    3_genome  3_mag    4_genome  4_mag  
# contigs (>= 0 bp)         53        33       92        410      192       679      46        693    
# contigs (>= 1000 bp)      53        33       92        410      192       679      46        693    
# contigs (>= 5000 bp)      52        31       69        81       84        10       29        3      
# contigs (>= 10000 bp)     43        26       43        10       14        1        27        0      
# contigs (>= 25000 bp)     32        24       14        0        0         0        23        0      
# contigs (>= 50000 bp)     15        18       4         0        0         0        16        0      
Total length (>= 0 bp)      2676116   2646940  1390020   1380214  1054269   1376375  2465291   1179117
Total length (>= 1000 bp)   2676116   2646940  1390020   1380214  1054269   1376375  2465291   1179117
Total length (>= 5000 bp)   2672200   2639045  1309677   600709   666889    63071    2424410   17746  
Total length (>= 10000 bp)  2599752   2602450  1124355   125423   176771    10257    2413019   0      
Total length (>= 25000 bp)  2426706   2562925  637992    0        0         0        2337594   0      
Total length (>= 50000 bp)  1794662   2372738  315081    0        0         0        2081103   0      
# contigs                   53        33       92        410      192       679      46        693    
Largest contig              273188    318415   104523    20312    20056     10257    323024    7042   
Total length                2676116   2646940  1390020   1380214  1054269   1376375  2465291   1179117
GC (%)                      39.00     39.03    34.55     34.75    39.90     40.67    29.94     30.94  
N50                         107917    153182   23330     4273     6256      2192     139128    1756   
N75                         42332     83885    13071     2615     4132      1510     74176     1319   
L50                         9         6        17        101      60        209      7         241    
L75                         20        12       36        207      112       398      13        435    
# N's per 100 kbp           0.00      56.67    0.00      5.07     0.00      7.27     0.00      2.54   
