#                                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3823_length_1138_cov_3.122807:83-718|+    -            212 874197at2            -            274   3.9e-68  226.4   0.3   1   1   2.9e-70     5e-68  226.0   0.3   107   274     1   193     1   193 0.91 NODE_3823_length_1138_cov_3.122807_1 # 83 # 718 # 1 # ID=572_1;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.480
NODE_1534_length_2147_cov_4.130019:1417-2145|+ -            243 874197at2            -            274   1.4e-11   40.8   0.0   1   2   7.9e-13   1.4e-10   37.6   0.0     4   108    10   117     7   129 0.70 NODE_1534_length_2147_cov_4.130019_3 # 1417 # 2145 # 1 # ID=214_3;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.425
NODE_1534_length_2147_cov_4.130019:1417-2145|+ -            243 874197at2            -            274   1.4e-11   40.8   0.0   2   2     0.059        10    2.0   0.0   131   169   121   164   114   191 0.69 NODE_1534_length_2147_cov_4.130019_3 # 1417 # 2145 # 1 # ID=214_3;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.425
NODE_866_length_3128_cov_3.231695:1831-3126|+  -            432 874197at2            -            274   1.6e-11   40.7   0.8   1   2   6.4e-07   0.00011   18.3   0.3    29   116    46   155     9   168 0.60 NODE_866_length_3128_cov_3.231695_3 # 1831 # 3126 # 1 # ID=92_3;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.472
NODE_866_length_3128_cov_3.231695:1831-3126|+  -            432 874197at2            -            274   1.6e-11   40.7   0.8   2   2     2e-07   3.4e-05   19.9   0.0    29    79   326   377   312   411 0.64 NODE_866_length_3128_cov_3.231695_3 # 1831 # 3126 # 1 # ID=92_3;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.472
NODE_708_length_3630_cov_2.943217:1958-3232|+  -            425 874197at2            -            274   5.5e-07   25.8   0.3   1   2   7.5e-09   1.3e-06   24.6   0.0     4    83    66   160    63   194 0.66 NODE_708_length_3630_cov_2.943217_4 # 1958 # 3232 # 1 # ID=60_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_708_length_3630_cov_2.943217:1958-3232|+  -            425 874197at2            -            274   5.5e-07   25.8   0.3   2   2       1.5   2.6e+02   -2.6   0.1   199   255   328   389   308   398 0.51 NODE_708_length_3630_cov_2.943217_4 # 1958 # 3232 # 1 # ID=60_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_511_length_4403_cov_4.624425:2049-4067|+  -            673 874197at2            -            274   1.5e-06   24.4   0.0   1   1   1.7e-08   2.9e-06   23.4   0.0    34    95   199   268   165   273 0.73 NODE_511_length_4403_cov_4.624425_3 # 2049 # 4067 # 1 # ID=28_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.432
NODE_3875_length_1126_cov_2.848739:1-1125|+    -            375 874197at2            -            274   1.2e-05   21.4   0.0   1   2      0.72   1.2e+02   -1.6   0.0   193   211    46    64    43    78 0.77 NODE_3875_length_1126_cov_2.848739_1 # 1 # 1125 # 1 # ID=580_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.451
NODE_3875_length_1126_cov_2.848739:1-1125|+    -            375 874197at2            -            274   1.2e-05   21.4   0.0   2   2   2.6e-07   4.5e-05   19.5   0.0    10    69   240   300   237   311 0.74 NODE_3875_length_1126_cov_2.848739_1 # 1 # 1125 # 1 # ID=580_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.451
NODE_863_length_3132_cov_5.745206:401-2857|+   -            819 874197at2            -            274   3.9e-05   19.7   1.6   1   2    0.0013      0.22    7.4   0.9    36    99   207   290   190   293 0.55 NODE_863_length_3132_cov_5.745206_2 # 401 # 2857 # 1 # ID=91_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.438
