#                                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3972_length_1106_cov_2.718363:686-1105|+ -            140 1069591at2           -            187   1.2e-18   64.2   0.1   1   1   1.6e-18     5e-16   55.7   0.1    45   130     2   116     1   121 0.80 NODE_3972_length_1106_cov_2.718363_3 # 686 # 1105 # 1 # ID=597_3;partial=01;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.419
NODE_3972_length_1106_cov_2.718363:524-649|+  -             42 1069591at2           -            187   1.6e-11   41.0   0.2   1   1   5.4e-14   1.7e-11   40.9   0.2     1    34     5    41     5    41 0.91 NODE_3972_length_1106_cov_2.718363_2 # 524 # 649 # 1 # ID=597_2;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.429
NODE_863_length_3132_cov_5.745206:401-2857|+  -            819 1069591at2           -            187    0.0016   14.9   0.6   1   3      0.13        43    0.5   0.0     3    26   210   232   209   245 0.82 NODE_863_length_3132_cov_5.745206_2 # 401 # 2857 # 1 # ID=91_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.438
NODE_863_length_3132_cov_5.745206:401-2857|+  -            819 1069591at2           -            187    0.0016   14.9   0.6   2   3       2.7   8.4e+02   -3.8   0.3    95   131   447   479   438   484 0.59 NODE_863_length_3132_cov_5.745206_2 # 401 # 2857 # 1 # ID=91_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.438
NODE_863_length_3132_cov_5.745206:401-2857|+  -            819 1069591at2           -            187    0.0016   14.9   0.6   3   3   7.3e-05     0.023   11.1   0.0     3    30   547   574   545   578 0.83 NODE_863_length_3132_cov_5.745206_2 # 401 # 2857 # 1 # ID=91_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.438
NODE_708_length_3630_cov_2.943217:1958-3232|+ -            425 1069591at2           -            187    0.0043   13.5   0.1   1   1   4.3e-05     0.014   11.8   0.1     2    25   111   132   110   135 0.88 NODE_708_length_3630_cov_2.943217_4 # 1958 # 3232 # 1 # ID=60_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_3787_length_1145_cov_2.677064:1-279|-    -             93 1069591at2           -            187    0.0047   13.4   0.1   1   2       1.1   3.4e+02   -2.5   0.0   117   117    33    33    11    53 0.57 NODE_3787_length_1145_cov_2.677064_1 # 1 # 279 # -1 # ID=569_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_3787_length_1145_cov_2.677064:1-279|-    -             93 1069591at2           -            187    0.0047   13.4   0.1   2   2   2.8e-05    0.0088   12.5   0.0     2    21    56    75    55    84 0.90 NODE_3787_length_1145_cov_2.677064_1 # 1 # 279 # -1 # ID=569_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_3388_length_1244_cov_3.063919:518-1189|+ -            224 1069591at2           -            187      0.13    8.6   5.2   1   3   0.00029     0.091    9.2   0.3     1    22     5    26     5    48 0.78 NODE_3388_length_1244_cov_3.063919_2 # 518 # 1189 # 1 # ID=525_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_3388_length_1244_cov_3.063919:518-1189|+ -            224 1069591at2           -            187      0.13    8.6   5.2   2   3     0.093        29    1.0   0.1   153   179    80   106    51   126 0.56 NODE_3388_length_1244_cov_3.063919_2 # 518 # 1189 # 1 # ID=525_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_3388_length_1244_cov_3.063919:518-1189|+ -            224 1069591at2           -            187      0.13    8.6   5.2   3   3      0.61   1.9e+02   -1.7   0.1   157   157   177   177   137   221 0.56 NODE_3388_length_1244_cov_3.063919_2 # 518 # 1189 # 1 # ID=525_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.393
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/1069591at2.hmm
# Target file:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_3_mag.fasta/prodigal_output/predicted_genes/predicted.faa
