# BUSCO version is: 6.1.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	NODE_545_length_4226_cov_5.695037	2762	4225	+	936.3	475	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Fragmented	NODE_545_length_4226_cov_5.695037	3	2723	+	1098.0	644	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NODE_366_length_5534_cov_6.320679	962	3133	+	257.7	362	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	NODE_967_length_2915_cov_4.668881	962	3	-	301.4	247	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_224_length_7624_cov_4.514995	7429	5459	-	750.4	489	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NODE_199_length_7960_cov_5.245414	4588	2756	-	514.3	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Missing
219876at2	Complete	NODE_1056_length_2757_cov_4.596595	1582	257	-	318.4	266	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Fragmented	NODE_3062_length_1332_cov_3.551292	1332	1	-	403.1	332	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NODE_265_length_6795_cov_4.560682	4955	3198	-	591.9	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NODE_394_length_5288_cov_6.805656	1486	200	-	329.4	279	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NODE_366_length_5534_cov_6.320679	3148	4530	+	244.3	279	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_330_length_5879_cov_5.615041	3217	4494	+	390.8	322	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Fragmented	NODE_743_length_3481_cov_5.460595	3479	2868	-	160.1	137	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Missing
430176at2	Fragmented	NODE_354_length_5631_cov_5.686693	2347	3165	+	396.2	233	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NODE_126_length_10469_cov_5.612541	8818	10005	+	171.5	222	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NODE_309_length_6127_cov_4.715580	1158	2231	+	412.5	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NODE_247_length_7115_cov_5.136261	3056	1512	-	292.6	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NODE_184_length_8383_cov_4.743876	2784	4157	+	229.1	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NODE_349_length_5671_cov_5.492165	3854	2562	-	381.2	286	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Fragmented	NODE_1671_length_2045_cov_5.942714	133	660	+	137.5	121	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NODE_900_length_3061_cov_5.483367	1908	568	-	563.0	422	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NODE_2392_length_1595_cov_5.519481	1593	106	-	188.0	302	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NODE_1711_length_2014_cov_5.094946	1476	829	-	241.9	204	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Fragmented	NODE_354_length_5631_cov_5.686693	2	817	+	354.7	215	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NODE_879_length_3100_cov_4.442693	1680	2603	+	143.6	187	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Missing
923547at2	Complete	NODE_366_length_5534_cov_6.320679	4533	5534	+	433.8	303	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Duplicated	NODE_862_length_3133_cov_3.504224	1485	2765	+	460.1	416	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932854at2	Duplicated	NODE_122_length_10825_cov_5.606500	2059	3300	+	538.2	414	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	NODE_51_length_20312_cov_5.664758	11123	12415	+	83.4	231	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	NODE_70_length_15890_cov_6.438207	11046	10216	-	231.8	178	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	NODE_355_length_5629_cov_4.182813	947	2113	+	227.7	259	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	NODE_420_length_4973_cov_4.865189	3062	3964	+	207.5	218	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	NODE_258_length_6911_cov_5.434218	4618	5781	+	255.3	209	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	NODE_290_length_6389_cov_5.617619	5122	6342	+	425.6	307	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Missing
1043239at2	Complete	NODE_864_length_3131_cov_6.078674	2434	1715	-	154.9	155	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	NODE_122_length_10825_cov_5.606500	567	2045	+	574.7	436	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	NODE_1144_length_2622_cov_5.188547	2410	1304	-	442.8	330	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Fragmented	NODE_134_length_10021_cov_5.008830	8875	9765	+	117.9	145	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Fragmented	NODE_4190_length_1062_cov_4.335650	1	993	+	145.8	230	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	NODE_741_length_3486_cov_6.146896	2187	3233	+	384.1	262	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	NODE_258_length_6911_cov_5.434218	570	1901	+	294.5	357	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	NODE_70_length_15890_cov_6.438207	9461	8814	-	194.7	161	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	NODE_456_length_4738_cov_4.277386	4000	2948	-	102.4	248	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Fragmented	NODE_659_length_3802_cov_4.742728	3	584	+	53.5	52	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	NODE_1236_length_2501_cov_3.482011	947	1549	+	186.8	164	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
