#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JASKZX010000159.1:5244-7070|+ -            609 182107at2            -            492  3.4e-226  747.4   6.3   1   1  2.5e-227  4.3e-225  743.8   6.3     1   492    13   605    13   605 0.89 JASKZX010000159.1_6 # 5244 # 7070 # 1 # ID=158_6;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.396
JASKZX010000056.1:1140-2990|- -            617 182107at2            -            492   2.6e-42  140.9   3.7   1   2   1.1e-38   1.9e-36  121.6   2.4     1   234     7   285     7   300 0.74 JASKZX010000056.1_3 # 1140 # 2990 # -1 # ID=149_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.400
JASKZX010000056.1:1140-2990|- -            617 182107at2            -            492   2.6e-42  140.9   3.7   2   2   2.6e-06   0.00045   14.8   0.0   260   355   344   433   322   436 0.77 JASKZX010000056.1_3 # 1140 # 2990 # -1 # ID=149_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.400
JASKZX010000192.1:1355-3457|+ -            701 182107at2            -            492   2.3e-40  134.5   0.4   1   4   1.2e-27     2e-25   85.3   0.0     2   129    11   156    10   180 0.85 JASKZX010000192.1_3 # 1355 # 3457 # 1 # ID=117_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.443
JASKZX010000192.1:1355-3457|+ -            701 182107at2            -            492   2.3e-40  134.5   0.4   2   4     0.015       2.5    2.5   0.0   133   160   256   283   226   290 0.80 JASKZX010000192.1_3 # 1355 # 3457 # 1 # ID=117_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.443
JASKZX010000192.1:1355-3457|+ -            701 182107at2            -            492   2.3e-40  134.5   0.4   3   4   1.9e-10   3.2e-08   28.5   0.0   157   323   303   492   285   499 0.65 JASKZX010000192.1_3 # 1355 # 3457 # 1 # ID=117_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.443
JASKZX010000192.1:1355-3457|+ -            701 182107at2            -            492   2.3e-40  134.5   0.4   4   4   8.2e-05     0.014    9.9   0.0   322   350   607   635   592   643 0.90 JASKZX010000192.1_3 # 1355 # 3457 # 1 # ID=117_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.443
JASKZX010000144.1:3-1769|-    -            589 182107at2            -            492   4.2e-25   84.2   0.2   1   1   4.7e-27     8e-25   83.3   0.2     5   196   199   404   197   447 0.82 JASKZX010000144.1_1 # 3 # 1769 # -1 # ID=99_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.427
JASKZX010000192.1:3584-4771|+ -            396 182107at2            -            492   4.7e-15   51.0   0.1   1   1   4.4e-17   7.5e-15   50.4   0.1     3   198    14   247    12   278 0.72 JASKZX010000192.1_4 # 3584 # 4771 # 1 # ID=117_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.444
JASKZX010000053.1:5116-6429|+ -            438 182107at2            -            492     2e-08   29.2   0.1   1   2    0.0011      0.19    6.1   0.0    11   161    14   170     5   174 0.58 JASKZX010000053.1_7 # 5116 # 6429 # 1 # ID=124_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.407
JASKZX010000053.1:5116-6429|+ -            438 182107at2            -            492     2e-08   29.2   0.1   2   2   3.2e-08   5.5e-06   21.1   0.1    66   164   253   357   177   369 0.74 JASKZX010000053.1_7 # 5116 # 6429 # 1 # ID=124_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.407
JASKZX010000121.1:2791-3693|+ -            301 182107at2            -            492   1.1e-06   23.4   0.0   1   1   9.3e-09   1.6e-06   22.9   0.0     5   157    13   175    10   188 0.76 JASKZX010000121.1_5 # 2791 # 3693 # 1 # ID=74_5;partial=01;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_3_genome.fasta/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_3_genome.fasta/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_3_genome.fasta/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026
# Date:            Mon Jul 20 11:18:08 2026
# [ok]
