#                                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3214_length_1288_cov_2.504461:1-408|-    -            136 1069591at2           -            187   3.5e-34  114.7   0.0   1   1   1.6e-36   4.4e-34  114.3   0.0     1    93     7   111     7   117 0.88 NODE_3214_length_1288_cov_2.504461_1 # 1 # 408 # -1 # ID=449_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.294
NODE_4180_length_1063_cov_3.344246:695-1063|+ -            123 1069591at2           -            187     7e-34  113.7   0.4   1   1     3e-36   8.4e-34  113.4   0.4     2    93     9   112     8   118 0.89 NODE_4180_length_1063_cov_3.344246_2 # 695 # 1063 # 1 # ID=625_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.263
NODE_1038_length_2792_cov_4.959810:101-2533|- -            811 1069591at2           -            187    0.0018   14.5   3.0   1   3     0.039        11    2.2   0.0     3    28   204   228   203   244 0.78 NODE_1038_length_2792_cov_4.959810_1 # 101 # 2533 # -1 # ID=54_1;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.335
NODE_1038_length_2792_cov_4.959810:101-2533|- -            811 1069591at2           -            187    0.0018   14.5   3.0   2   3       0.1        28    0.9   0.7    98   137   411   448   397   480 0.76 NODE_1038_length_2792_cov_4.959810_1 # 101 # 2533 # -1 # ID=54_1;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.335
NODE_1038_length_2792_cov_4.959810:101-2533|- -            811 1069591at2           -            187    0.0018   14.5   3.0   3   3   0.00031     0.086    9.1   0.0     3    30   541   568   539   572 0.86 NODE_1038_length_2792_cov_4.959810_1 # 101 # 2533 # -1 # ID=54_1;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.335
NODE_2078_length_1763_cov_3.714286:842-1762|+ -            307 1069591at2           -            187    0.0028   13.9   0.7   1   2     4e-05     0.011   12.0   0.0     2    21    53    72    52    77 0.91 NODE_2078_length_1763_cov_3.714286_3 # 842 # 1762 # 1 # ID=236_3;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.299
NODE_2078_length_1763_cov_3.714286:842-1762|+ -            307 1069591at2           -            187    0.0028   13.9   0.7   2   2      0.38   1.1e+02   -1.0   0.1   110   137   238   265   226   277 0.76 NODE_2078_length_1763_cov_3.714286_3 # 842 # 1762 # 1 # ID=236_3;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.299
NODE_795_length_3305_cov_4.487385:1044-2324|- -            427 1069591at2           -            187    0.0048   13.1   0.1   1   1   5.2e-05     0.014   11.6   0.1     2    26   111   133   110   137 0.89 NODE_795_length_3305_cov_4.487385_2 # 1044 # 2324 # -1 # ID=29_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.312
NODE_1639_length_2071_cov_4.337798:2-2071|-   -            690 1069591at2           -            187     0.037   10.2   5.5   1   4     0.031       8.5    2.6   0.0     9    28    60    78    54    85 0.89 NODE_1639_length_2071_cov_4.337798_1 # 2 # 2071 # -1 # ID=147_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
NODE_1639_length_2071_cov_4.337798:2-2071|-   -            690 1069591at2           -            187     0.037   10.2   5.5   2   4      0.91   2.5e+02   -2.2   1.1   118   155   265   305   247   341 0.66 NODE_1639_length_2071_cov_4.337798_1 # 2 # 2071 # -1 # ID=147_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
NODE_1639_length_2071_cov_4.337798:2-2071|-   -            690 1069591at2           -            187     0.037   10.2   5.5   3   4   0.00073       0.2    7.9   0.0     3    21   453   471   451   480 0.88 NODE_1639_length_2071_cov_4.337798_1 # 2 # 2071 # -1 # ID=147_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
NODE_1639_length_2071_cov_4.337798:2-2071|-   -            690 1069591at2           -            187     0.037   10.2   5.5   4   4      0.65   1.8e+02   -1.8   0.1   136   172   593   629   582   638 0.70 NODE_1639_length_2071_cov_4.337798_1 # 2 # 2071 # -1 # ID=147_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/1069591at2.hmm
# Target file:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_4_mag.fasta/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_4_mag.fasta/run_bacteria_odb10/hmmer_output/1069591at2.out --cpu 1 /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/1069591at2.hmm /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_4_mag.fasta/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026
# Date:            Mon Jul 20 11:18:42 2026
# [ok]
