#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_318415_cov_85.299856:235888-237696|- -            603 182107at2            -            492  5.2e-224  741.3  10.2   1   1  2.2e-225  7.8e-223  737.4  10.2     1   492     8   600     8   600 0.90 NODE_1_length_318415_cov_85.299856_258 # 235888 # 237696 # -1 # ID=1_258;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.400
NODE_15_length_62378_cov_100.663447:41449-43281|-  -            611 182107at2            -            492   6.2e-43  144.1   4.0   1   2   4.3e-41   1.5e-38  129.6   1.8     1   233     7   282     7   288 0.80 NODE_15_length_62378_cov_100.663447_43 # 41449 # 43281 # -1 # ID=15_43;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.424
NODE_15_length_62378_cov_100.663447:41449-43281|-  -            611 182107at2            -            492   6.2e-43  144.1   4.0   2   2   4.7e-06    0.0017   14.0   0.0   261   355   343   431   323   443 0.77 NODE_15_length_62378_cov_100.663447_43 # 41449 # 43281 # -1 # ID=15_43;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.424
NODE_19_length_52321_cov_103.975797:20928-23006|-  -            693 182107at2            -            492     6e-41  137.5   0.2   1   3   1.2e-27   4.3e-25   85.2   0.0     2   129    11   156    10   180 0.83 NODE_19_length_52321_cov_103.975797_38 # 20928 # 23006 # -1 # ID=18_38;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.432
NODE_19_length_52321_cov_103.975797:20928-23006|-  -            693 182107at2            -            492     6e-41  137.5   0.2   2   3   8.6e-12   3.1e-09   32.9   0.0   154   323   300   492   225   499 0.73 NODE_19_length_52321_cov_103.975797_38 # 20928 # 23006 # -1 # ID=18_38;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.432
NODE_19_length_52321_cov_103.975797:20928-23006|-  -            693 182107at2            -            492     6e-41  137.5   0.2   3   3   7.1e-05     0.026   10.1   0.0   322   350   599   627   589   634 0.90 NODE_19_length_52321_cov_103.975797_38 # 20928 # 23006 # -1 # ID=18_38;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.432
NODE_2_length_267761_cov_83.174796:177665-179755|+ -            697 182107at2            -            492   1.7e-25   86.6   2.6   1   3         7   2.5e+03   -7.5   5.9   425   470    42    89    13   108 0.52 NODE_2_length_267761_cov_83.174796_175 # 177665 # 179755 # 1 # ID=2_175;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_2_length_267761_cov_83.174796:177665-179755|+ -            697 182107at2            -            492   1.7e-25   86.6   2.6   2   3   4.6e-28   1.7e-25   86.6   2.6     5   211   203   422   201   438 0.81 NODE_2_length_267761_cov_83.174796_175 # 177665 # 179755 # 1 # ID=2_175;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_2_length_267761_cov_83.174796:177665-179755|+ -            697 182107at2            -            492   1.7e-25   86.6   2.6   3   3      0.59   2.1e+02   -2.8   0.0   176   203   618   645   605   677 0.76 NODE_2_length_267761_cov_83.174796_175 # 177665 # 179755 # 1 # ID=2_175;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_19_length_52321_cov_103.975797:19642-20832|-  -            397 182107at2            -            492   8.7e-17   57.8   0.5   1   1   4.5e-19   1.6e-16   56.9   0.5     3   208    14   260    13   283 0.70 NODE_19_length_52321_cov_103.975797_37 # 19642 # 20832 # -1 # ID=18_37;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.440
NODE_1_length_318415_cov_85.299856:62910-64220|-   -            437 182107at2            -            492   1.2e-09   34.3   0.9   1   2   2.8e-06     0.001   14.7   0.0     6   158     8   166     4   174 0.69 NODE_1_length_318415_cov_85.299856_72 # 62910 # 64220 # -1 # ID=1_72;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_1_length_318415_cov_85.299856:62910-64220|-   -            437 182107at2            -            492   1.2e-09   34.3   0.9   2   2   2.4e-07   8.7e-05   18.3   0.2    62   154   245   346   175   368 0.67 NODE_1_length_318415_cov_85.299856_72 # 62910 # 64220 # -1 # ID=1_72;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_2_length_267761_cov_83.174796:146073-147416|+ -            448 182107at2            -            492     0.021   10.4   5.6   1   2     0.015       5.4    2.4   0.2    48   111   185   252   174   262 0.66 NODE_2_length_267761_cov_83.174796_145 # 146073 # 147416 # 1 # ID=2_145;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.435
NODE_2_length_267761_cov_83.174796:146073-147416|+ -            448 182107at2            -            492     0.021   10.4   5.6   2   2   9.8e-05     0.035    9.7   1.3   422   479   377   434   328   438 0.80 NODE_2_length_267761_cov_83.174796_145 # 146073 # 147416 # 1 # ID=2_145;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.435
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm
# Target file:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_1_mag.fasta/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_1_mag.fasta/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/182107at2.hmm /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_1_mag.fasta/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026
# Date:            Mon Jul 20 11:17:34 2026
# [ok]
