#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
DATGTE010000028.1:113454-115262|+ -            603 182107at2            -            492  5.3e-224  741.3  10.2   1   1  2.2e-225    8e-223  737.4  10.2     1   492     8   600     8   600 0.90 DATGTE010000028.1_112 # 113454 # 115262 # 1 # ID=28_112;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.400
DATGTE010000040.1:56293-58125|+   -            611 182107at2            -            492   6.3e-43  144.1   4.0   1   2   4.3e-41   1.6e-38  129.6   1.8     1   233     7   282     7   288 0.80 DATGTE010000040.1_61 # 56293 # 58125 # 1 # ID=40_61;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.424
DATGTE010000040.1:56293-58125|+   -            611 182107at2            -            492   6.3e-43  144.1   4.0   2   2   4.7e-06    0.0017   14.0   0.0   261   355   343   431   323   443 0.77 DATGTE010000040.1_61 # 56293 # 58125 # 1 # ID=40_61;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.424
DATGTE010000017.1:29404-31482|+   -            693 182107at2            -            492   6.2e-41  137.5   0.2   1   3   1.2e-27   4.4e-25   85.2   0.0     2   129    11   156    10   180 0.83 DATGTE010000017.1_25 # 29404 # 31482 # 1 # ID=17_25;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.432
DATGTE010000017.1:29404-31482|+   -            693 182107at2            -            492   6.2e-41  137.5   0.2   2   3   8.6e-12   3.2e-09   32.9   0.0   154   323   300   492   225   499 0.73 DATGTE010000017.1_25 # 29404 # 31482 # 1 # ID=17_25;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.432
DATGTE010000017.1:29404-31482|+   -            693 182107at2            -            492   6.2e-41  137.5   0.2   3   3   7.1e-05     0.026   10.1   0.0   322   350   599   627   589   634 0.90 DATGTE010000017.1_25 # 29404 # 31482 # 1 # ID=17_25;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.432
DATGTE010000023.1:53224-55314|-   -            697 182107at2            -            492   1.7e-25   86.6   2.6   1   3         7   2.6e+03   -7.5   5.9   425   470    42    89    13   108 0.52 DATGTE010000023.1_53 # 53224 # 55314 # -1 # ID=23_53;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.399
DATGTE010000023.1:53224-55314|-   -            697 182107at2            -            492   1.7e-25   86.6   2.6   2   3   4.6e-28   1.7e-25   86.6   2.6     5   211   203   422   201   438 0.81 DATGTE010000023.1_53 # 53224 # 55314 # -1 # ID=23_53;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.399
DATGTE010000023.1:53224-55314|-   -            697 182107at2            -            492   1.7e-25   86.6   2.6   3   3      0.39   1.5e+02   -2.2   0.1   175   203   617   645   567   677 0.74 DATGTE010000023.1_53 # 53224 # 55314 # -1 # ID=23_53;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.399
DATGTE010000017.1:31578-32768|+   -            397 182107at2            -            492   1.2e-16   57.5   0.5   1   1   5.9e-19   2.2e-16   56.6   0.5     3   208    14   260    13   283 0.70 DATGTE010000017.1_26 # 31578 # 32768 # 1 # ID=17_26;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.441
DATGTE010000020.1:61572-62882|-   -            437 182107at2            -            492   1.2e-09   34.3   0.9   1   2   2.8e-06     0.001   14.7   0.0     6   158     8   166     4   174 0.69 DATGTE010000020.1_70 # 61572 # 62882 # -1 # ID=20_70;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.407
