#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_VULR01000002.1:76619-78583|+   -            655 95696at2             -            490  5.1e-232  768.0  14.6   1   1  5.8e-233    2e-230  762.7  14.6     1   475    34   586    34   599 0.90 NZ_VULR01000002.1_107 # 76619 # 78583 # 1 # ID=12_107;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_VULR01000012.1:31446-33509|+   -            688 95696at2             -            490   1.9e-12   43.8   2.6   1   3      0.68   2.4e+02   -2.8   0.1    35    85   151   201   144   211 0.66 NZ_VULR01000012.1_39 # 31446 # 33509 # 1 # ID=4_39;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.297
NZ_VULR01000012.1:31446-33509|+   -            688 95696at2             -            490   1.9e-12   43.8   2.6   2   3   4.8e-06    0.0017   14.2   0.0   344   394   320   370   310   401 0.89 NZ_VULR01000012.1_39 # 31446 # 33509 # 1 # ID=4_39;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.297
NZ_VULR01000012.1:31446-33509|+   -            688 95696at2             -            490   1.9e-12   43.8   2.6   3   3   1.8e-10   6.3e-08   28.8   0.1   343   434   484   574   473   608 0.83 NZ_VULR01000012.1_39 # 31446 # 33509 # 1 # ID=4_39;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.297
NZ_VULR01000016.1:30480-33998|-   -           1173 95696at2             -            490   2.3e-12   43.4  19.9   1   3   1.2e-05    0.0042   12.9  10.0    20   368    49   443    42   465 0.63 NZ_VULR01000016.1_32 # 30480 # 33998 # -1 # ID=8_32;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.290
NZ_VULR01000016.1:30480-33998|-   -           1173 95696at2             -            490   2.3e-12   43.4  19.9   2   3    0.0017      0.58    5.9   0.1   323   407   664   752   657   769 0.74 NZ_VULR01000016.1_32 # 30480 # 33998 # -1 # ID=8_32;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.290
NZ_VULR01000016.1:30480-33998|-   -           1173 95696at2             -            490   2.3e-12   43.4  19.9   3   3   5.6e-10     2e-07   27.2   0.4   346   443   850   944   822   965 0.84 NZ_VULR01000016.1_32 # 30480 # 33998 # -1 # ID=8_32;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.290
NZ_VULR01000012.1:15822-18296|+   -            825 95696at2             -            490   3.7e-12   42.8   0.7   1   3     0.001      0.37    6.5   0.0     3    43   304   347   302   354 0.82 NZ_VULR01000012.1_23 # 15822 # 18296 # 1 # ID=4_23;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.271
NZ_VULR01000012.1:15822-18296|+   -            825 95696at2             -            490   3.7e-12   42.8   0.7   2   3     0.016       5.5    2.6   0.0   354   393   346   385   342   390 0.91 NZ_VULR01000012.1_23 # 15822 # 18296 # 1 # ID=4_23;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.271
NZ_VULR01000012.1:15822-18296|+   -            825 95696at2             -            490   3.7e-12   42.8   0.7   3   3   2.9e-11     1e-08   31.5   0.0   368   441   595   681   576   712 0.72 NZ_VULR01000012.1_23 # 15822 # 18296 # 1 # ID=4_23;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.271
NZ_VULR01000005.1:134316-137465|- -           1050 95696at2             -            490   5.9e-09   32.2   0.3   1   3      0.29     1e+02   -1.5   0.0     7    40    53    90    49   142 0.72 NZ_VULR01000005.1_131 # 134316 # 137465 # -1 # ID=42_131;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.266
NZ_VULR01000005.1:134316-137465|- -           1050 95696at2             -            490   5.9e-09   32.2   0.3   2   3       1.7     6e+02   -4.1   0.0   245   258   155   168   152   174 0.86 NZ_VULR01000005.1_131 # 134316 # 137465 # -1 # ID=42_131;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.266
NZ_VULR01000005.1:134316-137465|- -           1050 95696at2             -            490   5.9e-09   32.2   0.3   3   3   9.5e-11   3.3e-08   29.7   0.1   338   434   292   392   274   399 0.70 NZ_VULR01000005.1_131 # 134316 # 137465 # -1 # ID=42_131;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.266
NZ_VULR01000003.1:111667-113253|+ -            529 95696at2             -            490   8.3e-09   31.7   0.2   1   2     0.018       6.2    2.5   0.0     6    48    49    97    44   111 0.71 NZ_VULR01000003.1_112 # 111667 # 113253 # 1 # ID=23_112;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.301
NZ_VULR01000003.1:111667-113253|+ -            529 95696at2             -            490   8.3e-09   31.7   0.2   2   2   7.3e-10   2.6e-07   26.8   0.1   339   435   246   337   231   393 0.90 NZ_VULR01000003.1_112 # 111667 # 113253 # 1 # ID=23_112;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.301
NZ_VULR01000003.1:29762-30997|+   -            412 95696at2             -            490   2.7e-06   23.4   5.1   1   3    0.0023      0.82    5.4   0.0     5    48    47    96    43   107 0.74 NZ_VULR01000003.1_35 # 29762 # 30997 # 1 # ID=23_35;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.335
NZ_VULR01000003.1:29762-30997|+   -            412 95696at2             -            490   2.7e-06   23.4   5.1   2   3      0.81   2.9e+02   -3.0   0.0   397   428   138   172   130   186 0.70 NZ_VULR01000003.1_35 # 29762 # 30997 # 1 # ID=23_35;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.335
NZ_VULR01000003.1:29762-30997|+   -            412 95696at2             -            490   2.7e-06   23.4   5.1   3   3   1.1e-07   3.9e-05   19.6   0.6   340   458   245   358   215   401 0.77 NZ_VULR01000003.1_35 # 29762 # 30997 # 1 # ID=23_35;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.335
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/95696at2.hmm
# Target file:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_4_genome.fasta/prodigal_output/predicted_genes/predicted.faa
