# BUSCO version is: 6.1.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	DATGTE010000017.1	24257	27859	+	1736.8	1052	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	DATGTE010000017.1	20520	24056	+	1304.1	810	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	DATGTE010000006.1	21404	19188	-	338.3	406	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	DATGTE010000028.1	81411	84053	+	555.9	554	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	DATGTE010000052.1	28310	30292	+	760.9	489	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	DATGTE010000040.1	56293	58125	+	550.0	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	DATGTE010000028.1	113454	115262	+	741.3	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	DATGTE010000010.1	80250	78904	-	328.5	265	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	DATGTE010000023.1	76123	74045	-	547.1	479	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	DATGTE010000028.1	67840	69606	+	579.0	468	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	DATGTE010000010.1	103045	104334	+	328.5	280	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	DATGTE010000006.1	19173	17809	-	253.7	272	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	DATGTE010000010.1	64997	63720	-	417.0	322	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	DATGTE010000023.1	57038	55920	-	195.0	213	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	DATGTE010000003.1	26460	27731	+	331.1	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	DATGTE010000049.1	56344	57756	+	581.0	361	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	DATGTE010000007.1	19350	18166	-	166.1	211	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	DATGTE010000003.1	92916	93950	+	426.6	293	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	DATGTE010000006.1	38170	36644	-	310.9	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	DATGTE010000017.1	5930	7303	+	225.8	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	DATGTE010000007.1	15814	14528	-	374.9	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	DATGTE010000017.1	46314	47258	+	265.7	225	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	DATGTE010000040.1	24361	25797	+	404.2	349	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	DATGTE010000010.1	41294	39333	-	212.3	313	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	DATGTE010000020.1	66273	65578	-	259.8	212	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	DATGTE010000049.1	53831	55339	+	668.9	409	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	DATGTE010000040.1	11334	12251	+	155.8	195	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	DATGTE010000028.1	48477	49481	+	407.8	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	DATGTE010000006.1	17795	16776	-	447.8	311	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	DATGTE010000006.1	14572	13322	-	598.6	413	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	DATGTE010000028.1	7192	8478	+	97.4	222	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	DATGTE010000017.1	35097	35927	+	223.9	173	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	DATGTE010000020.1	52352	51186	-	249.7	259	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	DATGTE010000028.1	144462	145364	+	233.0	223	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	DATGTE010000023.1	146697	145570	-	265.1	219	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	DATGTE010000041.1	38922	40118	+	440.3	308	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	DATGTE010000003.1	109284	111071	+	282.8	316	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	DATGTE010000023.1	66695	65973	-	161.5	144	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	DATGTE010000006.1	16143	14611	-	605.8	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	DATGTE010000028.1	75130	76278	+	458.0	329	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	DATGTE010000027.1	34572	33637	-	157.4	176	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	DATGTE010000020.1	135002	133254	-	308.9	385	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	DATGTE010000023.1	23099	22059	-	402.9	263	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	DATGTE010000023.1	151875	150526	-	322.3	356	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	DATGTE010000017.1	36637	37278	+	202.3	161	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	DATGTE010000023.1	152855	151872	-	281.4	250	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	DATGTE010000023.1	52397	51498	-	131.3	122	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	DATGTE010000003.1	28512	27907	-	202.2	164	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	DATGTE010000035.1	3312	4322	+	262.4	236	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	DATGTE010000007.1	18128	17367	-	339.4	248	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	DATGTE010000017.1	33501	34130	+	176.8	162	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	DATGTE010000023.1	161610	160633	-	136.1	153	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	DATGTE010000023.1	113243	112035	-	346.0	291	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	DATGTE010000023.1	63505	62240	-	126.8	157	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
