#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JASKZX010000152.1:3738-3986|- -             83 874197at2            -            274   1.8e-22   75.9   0.1   1   1   1.3e-24     2e-22   75.8   0.1   218   274     2    64     1    64 0.91 JASKZX010000152.1_6 # 3738 # 3986 # -1 # ID=118_6;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.454
JASKZX010000006.1:3-500|-     -            166 874197at2            -            274   4.9e-12   41.7   0.0   1   2   3.4e-13     5e-11   38.4   0.0     4    99    10   105     7   122 0.72 JASKZX010000006.1_1 # 3 # 500 # -1 # ID=190_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.424
JASKZX010000006.1:3-500|-     -            166 874197at2            -            274   4.9e-12   41.7   0.0   2   2     0.052       7.8    1.7   0.0   131   161   121   153   115   166 0.66 JASKZX010000006.1_1 # 3 # 500 # -1 # ID=190_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.424
JASKZX010000183.1:1553-3238|+ -            562 874197at2            -            274   2.3e-11   39.5   0.8   1   2   7.4e-07   0.00011   17.6   0.2    29   116    46   155    10   168 0.60 JASKZX010000183.1_3 # 1553 # 3238 # 1 # ID=102_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.469
JASKZX010000183.1:1553-3238|+ -            562 874197at2            -            274   2.3e-11   39.5   0.8   2   2   1.8e-07   2.7e-05   19.6   0.0    29    79   326   377   313   441 0.70 JASKZX010000183.1_3 # 1553 # 3238 # 1 # ID=102_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.469
JASKZX010000096.1:543-2561|-  -            673 874197at2            -            274   9.3e-07   24.4   0.0   1   1   1.2e-08   1.8e-06   23.4   0.0    34    95   199   268   165   273 0.73 JASKZX010000096.1_2 # 543 # 2561 # -1 # ID=6_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.432
JASKZX010000114.1:1978-3252|+ -            425 874197at2            -            274   1.5e-06   23.7   0.4   1   2   2.3e-08   3.4e-06   22.6   0.0     4    83    66   160    63   194 0.66 JASKZX010000114.1_4 # 1978 # 3252 # 1 # ID=140_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.406
JASKZX010000114.1:1978-3252|+ -            425 874197at2            -            274   1.5e-06   23.7   0.4   2   2       1.1   1.6e+02   -2.6   0.1   199   255   328   389   308   398 0.51 JASKZX010000114.1_4 # 1978 # 3252 # 1 # ID=140_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.406
JASKZX010000114.1:3392-5713|+ -            774 874197at2            -            274   1.9e-06   23.3   0.1   1   2       1.6   2.3e+02   -3.1   0.1   193   209   126   142   124   155 0.80 JASKZX010000114.1_5 # 3392 # 5713 # 1 # ID=140_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.433
JASKZX010000114.1:3392-5713|+ -            774 874197at2            -            274   1.9e-06   23.3   0.1   2   2   2.3e-07   3.4e-05   19.3   0.0    10    74   320   385   317   508 0.64 JASKZX010000114.1_5 # 3392 # 5713 # 1 # ID=140_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.433
JASKZX010000061.1:1696-3096|- -            467 874197at2            -            274   6.8e-05   18.3   0.3   1   2   2.1e-06   0.00032   16.1   0.0    27    97    45   119    10   158 0.66 JASKZX010000061.1_4 # 1696 # 3096 # -1 # ID=108_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.394
