#                                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_900_length_3061_cov_5.483367:568-1908|-   -            447 665824at2            -            547  7.4e-170  563.0   0.2   1   1    3e-172  8.7e-170  562.8   0.2   118   539     1   437     1   445 0.96 NODE_900_length_3061_cov_5.483367_2 # 568 # 1908 # -1 # ID=158_2;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.355
NODE_339_length_5787_cov_5.692254:2829-4763|-  -            645 665824at2            -            547   1.6e-34  116.3   0.7   1   2   5.5e-19   1.6e-16   56.9   0.1    35   190   261   416   251   422 0.89 NODE_339_length_5787_cov_5.692254_6 # 2829 # 4763 # -1 # ID=57_6;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_339_length_5787_cov_5.692254:2829-4763|-  -            645 665824at2            -            547   1.6e-34  116.3   0.7   2   2   3.4e-19     1e-16   57.6   0.1   398   529   496   624   425   640 0.82 NODE_339_length_5787_cov_5.692254_6 # 2829 # 4763 # -1 # ID=57_6;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_900_length_3061_cov_5.483367:2026-2259|-  -             78 665824at2            -            547   3.8e-27   92.0   0.8   1   1   1.5e-29   4.4e-27   91.8   0.8     1    73     1    73     1    76 0.99 NODE_900_length_3061_cov_5.483367_3 # 2026 # 2259 # -1 # ID=158_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.363
NODE_265_length_6795_cov_4.560682:4955-6211|-  -            419 665824at2            -            547   1.2e-12   44.1   2.8   1   2   7.6e-08   2.2e-05   20.1   0.4    35   155     4   124     1   127 0.85 NODE_265_length_6795_cov_4.560682_6 # 4955 # 6211 # -1 # ID=40_6;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.368
NODE_265_length_6795_cov_4.560682:4955-6211|-  -            419 665824at2            -            547   1.2e-12   44.1   2.8   2   2   4.1e-09   1.2e-06   24.3   0.1   455   541   331   415   325   418 0.85 NODE_265_length_6795_cov_4.560682_6 # 4955 # 6211 # -1 # ID=40_6;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.368
NODE_330_length_5879_cov_5.615041:3217-4494|+  -            426 665824at2            -            547   3.1e-11   39.4   0.1   1   2   8.1e-11   2.4e-08   29.9   0.1    46   206   170   330   141   338 0.90 NODE_330_length_5879_cov_5.615041_4 # 3217 # 4494 # 1 # ID=55_4;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_330_length_5879_cov_5.615041:3217-4494|+  -            426 665824at2            -            547   3.1e-11   39.4   0.1   2   2   0.00052      0.15    7.5   0.0   401   446   362   410   347   416 0.73 NODE_330_length_5879_cov_5.615041_4 # 3217 # 4494 # 1 # ID=55_4;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1281_length_2440_cov_4.949266:1165-2439|+ -            425 665824at2            -            547   1.8e-09   33.6   0.0   1   2   3.8e-07   0.00011   17.8   0.1    42   156    38   224    31   259 0.84 NODE_1281_length_2440_cov_4.949266_2 # 1165 # 2439 # 1 # ID=218_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.371
NODE_1281_length_2440_cov_4.949266:1165-2439|+ -            425 665824at2            -            547   1.8e-09   33.6   0.0   2   2   9.4e-06    0.0028   13.2   0.0   442   505   363   422   336   425 0.89 NODE_1281_length_2440_cov_4.949266_2 # 1165 # 2439 # 1 # ID=218_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.371
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/665824at2.hmm
# Target file:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_2_mag.fasta/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_2_mag.fasta/run_bacteria_odb10/hmmer_output/665824at2.out --cpu 1 /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_downloads/lineages/bacteria_odb10/hmms/665824at2.hmm /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026/busco_results/BUSCO_2_mag.fasta/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /LACTAS-HELISSON-01/diretorio_compartilhado/aula_genomas_bacterianos_2026
# Date:            Mon Jul 20 11:17:58 2026
# [ok]
